更新时间: 2026-01-22 03:57:44（北京时间）

更新时间,#genre#
2026-01-22 03:57:44,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
江苏卫视,http://121.230.174.1:8000/rtp/239.49.8.16:9602$江苏电信
东方卫视,http://180.125.178.205:8686/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://223.214.248.90:4022/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://171.83.38.123:1234/rtp/239.254.96.142:8926$湖北电信
东方卫视,http://116.9.34.165:4000/rtp/239.81.0.111:4056$广西电信
东方卫视,http://116.9.34.165:4000/rtp/239.81.0.76:4056$广西电信
东方卫视,http://123.181.147.244:7000/rtp/239.254.200.52:8032$河北省电信
东方卫视,http://121.230.174.1:8000/rtp/239.49.8.17:9606$江苏电信
深圳卫视,http://180.125.178.205:8686/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://223.214.248.90:4022/rtp/238.1.78.156:7120$安徽电信
深圳卫视,http://171.83.38.123:1234/rtp/239.254.96.137:8896$湖北电信
深圳卫视,http://116.9.34.165:4000/rtp/239.81.0.254:4056$广西电信
深圳卫视,http://123.181.147.244:7000/rtp/239.254.200.50:8020$河北省电信
深圳卫视,http://121.230.174.1:8000/rtp/239.49.8.15:9430$江苏电信
北京卫视,http://180.125.178.205:8686/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://223.214.248.90:4022/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://171.83.38.123:1234/rtp/239.254.96.141:8920$湖北电信
北京卫视,http://116.9.34.165:4000/rtp/239.81.0.109:4056$广西电信
北京卫视,http://116.9.34.165:4000/rtp/239.81.0.226:4056$广西电信
北京卫视,http://116.9.34.165:4000/rtp/239.81.0.225:4056$广西电信
北京卫视,http://123.181.147.244:7000/rtp/239.254.200.47:8024$河北省电信
北京卫视,http://121.230.174.1:8000/rtp/239.49.8.11:9414$江苏电信
广东卫视,http://180.125.178.205:8686/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://223.214.248.90:4022/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://171.83.38.123:1234/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://116.9.34.165:4000/rtp/239.81.0.104:4056$广西电信
广东卫视,http://116.9.34.165:4000/rtp/239.81.0.252:4056$广西电信
广东卫视,http://123.181.147.244:7000/rtp/239.254.200.56:8048$河北省电信
广东卫视,http://121.230.174.1:8000/rtp/239.49.8.13:9422$江苏电信
广西卫视,http://180.125.178.205:8686/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://223.214.248.90:4022/rtp/238.1.78.70:6432$安徽电信
广西卫视,http://171.83.38.123:1234/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://116.9.34.165:4000/rtp/239.81.0.107:4056$广西电信
广西卫视,http://123.181.147.244:7000/rtp/239.254.200.80:8300$河北省电信
广西卫视,http://121.230.174.1:8000/rtp/239.49.8.10:8000$江苏电信
东南卫视,http://180.125.178.205:8686/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://223.214.248.90:4022/rtp/238.1.78.22:6104$安徽电信
东南卫视,http://171.83.38.123:1234/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://116.9.34.165:4000/rtp/239.81.0.215:4056$广西电信
东南卫视,http://123.181.147.244:7000/rtp/239.254.201.13:6291$河北省电信
东南卫视,http://121.230.174.1:8000/rtp/239.49.8.112:8000$江苏电信
海南卫视,http://180.125.178.205:8686/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://223.214.248.90:4022/rtp/238.1.79.49:4504$安徽电信
海南卫视,http://171.83.38.123:1234/rtp/239.69.1.151:10542$湖北电信
海南卫视,http://116.9.34.165:4000/rtp/239.81.0.199:4056$广西电信
海南卫视,http://123.181.147.244:7000/rtp/239.254.201.125:6288$河北省电信
海南卫视,http://121.230.174.1:8000/rtp/239.49.8.83:8000$江苏电信
河北卫视,http://180.125.178.205:8686/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://223.214.248.90:4022/rtp/238.1.78.245:7832$安徽电信
河北卫视,http://171.83.38.123:1234/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://116.9.34.165:4000/rtp/239.81.0.94:4056$广西电信
河北卫视,http://123.181.147.244:7000/rtp/239.254.200.174:6000$河北省电信
河北卫视,http://121.230.174.1:8000/rtp/239.49.8.114:8000$江苏电信
河南卫视,http://180.125.178.205:8686/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://223.214.248.90:4022/rtp/238.1.79.65:4632$安徽电信
河南卫视,http://171.83.38.123:1234/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://116.9.34.165:4000/rtp/239.81.0.220:4056$广西电信
河南卫视,http://123.181.147.244:7000/rtp/239.254.201.16:7174$河北省电信
河南卫视,http://121.230.174.1:8000/rtp/239.49.8.29:8000$江苏电信
湖北卫视,http://180.125.178.205:8686/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://223.214.248.90:4022/rtp/238.1.78.168:7216$安徽电信
湖北卫视,http://171.83.38.123:1234/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://116.9.34.165:4000/rtp/239.81.0.112:4056$广西电信
湖北卫视,http://123.181.147.244:7000/rtp/239.254.200.164:6000$河北省电信
湖北卫视,http://121.230.174.1:8000/rtp/239.49.8.8:9632$江苏电信
江西卫视,http://180.125.178.205:8686/rtp/239.49.8.111:8000$江苏电信
